net,length_um
_0135_,3.2
_0014_,3.08
_0221_,3.08
_0300_,3.08
_0331_,3.08
_0386_,3.08
_0397_,3.08
_0342_,2.98
_0361_,2.98
_0193_,2.96
_0272_,2.96
_0297_,2.96
_0365_,2.96
_0414_,2.96
_0446_,2.96
net40,2.96
net48,2.96
net58,2.96
net160,2.96
net163,2.96
_0003_,2.945
_0138_,2.86
_0074_,2.835
_0242_,2.76
_0413_,2.76
net91,2.76
net97,2.76
net112,2.76
net113,2.76
net115,2.76
net121,2.76
_0129_,2.74
_0004_,2.715
_0128_,2.64
_0240_,2.64
w_ptr_g_sync2\[0\],2.64
net34,2.62
_0147_,2.585
_0037_,2.545
_0072_,2.545
_0031_,2.52
_0086_,2.52
_0273_,2.5
_0391_,2.5
_0400_,2.5
_0064_,2.485
_0180_,2.4
_0310_,2.4
net67,2.4
net119,2.4
net132,2.4
net151,2.4
_0421_,2.3
net50,2.3
net51,2.3
net54,2.3
net55,2.3
net65,2.3
net66,2.3
net69,2.3
net78,2.3
net85,2.3
net87,2.3
net94,2.3
net95,2.3
net103,2.3
net105,2.3
net111,2.3
net117,2.3
net120,2.3
net122,2.3
net125,2.3
net129,2.3
net131,2.3
net135,2.3
net136,2.3
net137,2.3
net149,2.3
net150,2.3
_0125_,2.18
_0381_,2.16
_0404_,2.16
_0448_,2.16
r_ptr_g_sync1\[1\],2.16
net31,2.16
_0070_,2.125
_0103_,2.125
_0298_,2.06
_0387_,2.06
_0438_,2.06
_0379_,2.04
net60,2.04
net148,2.04
_0018_,2.025
_0118_,2.025
net46,1.94
net76,1.94
net110,1.94
net118,1.94
net139,1.94
net140,1.94
_0000_,1.865
_0013_,1.865
_0022_,1.865
_0044_,1.865
_0081_,1.865
_0140_,1.865
_0219_,1.84
w_ptr_g_sync1\[0\],1.82
_0275_,1.7
net35,1.7
_0007_,1.575
net33,1.545
net59,1.48
net86,1.48
net114,1.48
net133,1.48
_0178_,1.38
_0417_,1.38
r_ptr_b\[3\],1.26
_0332_,1.14
_0348_,1.14
_0430_,1.14
net41,1.02
net126,1.02
net141,1.02
net166,1.02
_0420_,0.92
